author,peer,shared,average,strength
maevar,Maevar,7,27,25
Maevar,maevar,7,27,25
maevar,Darksch27,36,174,20
Darksch27,maevar,36,174,20
pt1411,casaleggg,248,1337,18
casaleggg,pt1411,248,1337,18
gourry,Darksch27,99,1182,8
Darksch27,gourry,99,1182,8
gourry,casaleggg,106,1348,7
casaleggg,gourry,106,1348,7
maevar,gourry,45,1053,4
gourry,maevar,45,1053,4
pt1411,gourry,66,2050,3
gourry,pt1411,66,2050,3
Maevar,Darksch27,3,156,1
Darksch27,Maevar,3,156,1
gourry,Maevar,9,1035,0
casaleggg,Darksch27,1,468,0
Maevar,gourry,9,1035,0
Darksch27,casaleggg,1,468,0
