entity,coupled,degree,average-revs
/trunk/build_util/Unix_shortcutSpec.xml,/trunk/build_util/shortcutSpec.xml,100,9
/trunk/src/jmt/gui/common/definitions/MeasureDefinition.java,/trunk/src/jmt/gui/common/definitions/ResultsModel.java,100,5
/trunk/src/jmt/gui/common/definitions/ResultsModel.java,/trunk/src/jmt/gui/common/definitions/StoredResultsModel.java,100,5
/trunk/src/jmt/gui/common/definitions/MeasureDefinition.java,/trunk/src/jmt/gui/common/definitions/StoredResultsModel.java,100,5
/trunk/src/jmt/gui/exact/panels/ClassesPanel.java,/trunk/src/jmt/gui/exact/panels/WhatIfPanel.java,90,6
/trunk/src/jmt/engine/QueueNet/JobInfoList.java,/trunk/src/jmt/engine/QueueNet/LinkedJobInfoList.java,84,10
/trunk/manual_src/jsimgraph_users.tex,/trunk/manual_src/jsimwiz_users.tex,83,6
/trunk/src/jmt/gui/exact/panels/SysPowerPanel.java,/trunk/src/jmt/gui/exact/panels/SystemRespTimePanel.java,83,6
/trunk/src/jmt/engine/QueueNet/NetNode.java,/trunk/src/jmt/engine/QueueNet/NodeSection.java,75,12
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/definitions/ResultsModel.java,71,7
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/definitions/StoredResultsModel.java,71,7
/trunk/src/jmt/gui/common/definitions/MeasureDefinition.java,/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,71,7
/trunk/src/jmt/gui/common/xml/XMLConstantNames.java,/trunk/src/jmt/gui/common/xml/XMLWriter.java,70,9
/trunk/src/jmt/gui/common/xml/XMLReader.java,/trunk/src/jmt/gui/common/xml/XMLWriter.java,69,12
/trunk/src/jmt/gui/common/definitions/CommonModel.java,/trunk/src/jmt/gui/common/xml/XMLWriter.java,66,12
/trunk/src/jmt/engine/simEngine/SimLoader.java,/trunk/src/jmt/gui/common/definitions/SimulationDefinition.java,66,9
/trunk/src/jmt/gui/common/xml/XMLConstantNames.java,/trunk/src/jmt/gui/common/xml/XMLReader.java,66,9
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/xml/XMLResultsReader.java,66,8
/trunk/src/jmt/gui/jaba/JabaWizard.java,/trunk/src/jmt/gui/jsim/JSIMMain.java,66,8
/trunk/src/jmt/gui/common/definitions/CommonModel.java,/trunk/src/jmt/gui/common/definitions/StationDefinition.java,63,10
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/definitions/SimulationDefinition.java,62,8
/trunk/src/jmt/engine/simEngine/SimLoader.java,/trunk/src/jmt/gui/common/xml/XMLReader.java,60,12
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/definitions/ResultsConstants.java,60,10
/trunk/src/jmt/gui/common/definitions/ResultsConstants.java,/trunk/src/jmt/gui/common/panels/ResultsWindow.java,58,12
/trunk/src/jmt/gui/common/definitions/ResultsConstants.java,/trunk/src/jmt/gui/common/panels/parametric/PAResultsWindow.java,58,9
/trunk/src/jmt/gui/common/definitions/ResultsConstants.java,/trunk/src/jmt/gui/common/xml/XMLResultsReader.java,58,9
/trunk/src/jmt/gui/common/definitions/CommonModel.java,/trunk/src/jmt/gui/common/xml/XMLReader.java,56,13
/trunk/src/jmt/gui/common/definitions/ResultsConstants.java,/trunk/src/jmt/gui/common/definitions/SimulationDefinition.java,55,9
/trunk/src/jmt/gui/common/definitions/PAResultsModel.java,/trunk/src/jmt/gui/common/panels/ResultsWindow.java,54,11
/trunk/src/jmt/gui/common/panels/ResultsWindow.java,/trunk/src/jmt/gui/common/panels/parametric/PAResultsWindow.java,52,10
/trunk/src/jmt/gui/common/panels/ResultsWindow.java,/trunk/src/jmt/gui/common/xml/XMLResultsReader.java,52,10
/trunk/src/jmt/gui/common/definitions/CommonModel.java,/trunk/src/jmt/gui/common/xml/XMLConstantNames.java,52,10
/trunk/src/jmt/gui/common/CommonConstants.java,/trunk/src/jmt/gui/common/controller/ModelChecker.java,52,10
/trunk/src/jmt/gui/common/Defaults.java,/trunk/src/jmt/gui/common/definitions/CommonModel.java,50,12
/trunk/build_util/jmt_install.xml,/trunk/build_util/shortcutSpec.xml,50,10
/trunk/build_util/Unix_shortcutSpec.xml,/trunk/build_util/jmt_install.xml,50,10
/trunk/src/jmt/gui/common/panels/LoggerSectionPanel.java,/trunk/src/jmt/gui/common/xml/XMLWriter.java,50,10
/trunk/build.properties,/trunk/build.xml,48,17
/trunk/src/jmt/gui/exact/ExactWizard.java,/trunk/src/jmt/gui/jsim/JSIMMain.java,48,13
/trunk/src/jmt/gui/common/controller/ModelChecker.java,/trunk/src/jmt/gui/common/definitions/CommonModel.java,47,11
/trunk/src/jmt/gui/exact/ExactConstants.java,/trunk/src/jmt/gui/exact/ExactModel.java,45,18
/trunk/src/jmt/gui/common/Defaults.java,/trunk/src/jmt/gui/common/xml/XMLWriter.java,45,11
/trunk/src/jmt/gui/exact/ExactConstants.java,/trunk/src/jmt/gui/exact/panels/SysPowerPanel.java,45,11
/trunk/src/jmt/gui/common/CommonConstants.java,/trunk/src/jmt/gui/jmodel/controller/Mediator.java,41,12
/trunk/src/jmt/engine/simEngine/SimLoader.java,/trunk/src/jmt/gui/common/definitions/CommonModel.java,41,12
/trunk/src/jmt/engine/QueueNet/LinkedJobInfoList.java,/trunk/src/jmt/engine/QueueNet/NetNode.java,41,12
/trunk/src/jmt/engine/QueueNet/JobInfoList.java,/trunk/src/jmt/engine/QueueNet/NetNode.java,40,13
/trunk/src/jmt/engine/QueueNet/NetNode.java,/trunk/src/jmt/engine/simEngine/Simulation.java,38,13
/trunk/build.xml,/trunk/build_util/Unix_shortcutSpec.xml,35,14
/trunk/build.xml,/trunk/build_util/shortcutSpec.xml,35,14
